Distance_(pixels),Gray_Value
0,89.0000
1,90.7627
2,92.4904
3,93.5871
4,94.5583
5,95.9996
6,97.8946
7,100.8431
8,104.5914
9,106.3029
10,107.8485
11,110.5694
12,114.3499
13,118.2136
14,122.4901
15,126.8893
16,131.1965
17,135.8825
18,139.3478
19,141.7905
20,144.6905
21,146.0200
22,146.9167
23,147.1055
24,146.7355
25,146.4969
26,144.2672
27,143.6620
28,142.2957
29,143.3289
30,144.1618
31,145.9217
32,147.4371
33,149.1250
34,149.2181
35,149.7545
36,150.0771
37,148.8377
38,146.9176
39,144.8951
40,143.7576
41,141.3867
42,138.9229
43,136.6827
44,134.6667
45,129.5670
46,123.6924
47,118.4147
48,114.2424
49,110.2504
50,105.9697
51,103.2161
52,98.7401
53,94.7188
54,92.3588
55,90.7361
56,87.5831
57,84.3087
58,82.0168
59,80.1660
60,78.1515
61,76.6376
62,76.4495
63,77.3383
64,78.6382
65,79.6434
66,81.6667
67,83.7907
68,85.4371
69,87.4316
70,89.5062
71,89.8896
72,90.3664
73,91.1818
74,91.3696
75,91.7147
76,92.3361
77,94.3125
78,97.8519
79,102.0596
80,105.9045
81,110.1815
82,114.8120
83,119.1932
84,124.4656
85,130.6262
86,134.9844
87,138.5193
88,143.3333
89,144.4105
90,145.8065
91,147.4728
92,148.0119
93,148.8776
94,148.8724
95,147.9553
96,148.5344
97,147.8227
98,147.6008
99,148.6667
100,149.6547
101,149.8565
102,150.7039
103,152.0098
104,154.0588
105,153.7856
106,154.2073
107,151.3198
108,146.1157
109,143.2615
110,139.3611
111,133.9086
112,129.8972
113,126.0785
114,122.6130
115,121.0360
116,118.2590
117,116.5245
118,114.9068
119,112.1975
120,110.4160
121,106.7917
122,103.9605
123,99.0839
124,94.4637
125,93.7819
126,90.6467
127,90.0107
128,90.0147
129,89.8431
130,92.0985
131,96.4699
132,101.6667
